map,fs,pct_green,worst_db,worst_at,broken_cells
bell_p12,44100,67.5,2.242,"f0=21609 Q=2.07",0
loshelf_p12,44100,95.9,5.790,"f0=21609 Q=0.05",0
hishelf_p12,44100,91.5,4.734,"f0=10 Q=0.05",0
bell_m12,44100,67.5,2.242,"f0=21609 Q=2.07",0
loshelf_m12,44100,98.4,5.790,"f0=21609 Q=0.05",0
hishelf_m12,44100,91.2,4.734,"f0=10 Q=0.05",0
bandpass,44100,26.1,4.400,"f0=21609 Q=17.2",0
notch1,44100,73.0,14.913,"f0=21609 Q=0.15",0
allpass,44100,100.0,0.000,"f0=20 Q=40",0
hp,44100,84.6,26.259,"f0=21609 ORDER=1",0
lp,44100,68.4,18.595,"f0=583 ORDER=1",0
notchcas,44100,86.6,26.015,"f0=21609 ORDER=12.6",0
bpcascade,44100,37.4,41.960,"f0=9963 ORDER=10.7",0
tilt,44100,84.0,1.305,"f0=15650 GAIN DB=-30",0
bell_p12,48000,67.8,2.242,"f0=23520 Q=2.07",0
loshelf_p12,48000,96.0,5.790,"f0=23520 Q=0.05",0
hishelf_p12,48000,90.4,4.891,"f0=10 Q=0.05",0
bell_m12,48000,67.8,2.242,"f0=23520 Q=2.07",0
loshelf_m12,48000,98.4,5.790,"f0=23520 Q=0.05",0
hishelf_m12,48000,90.2,4.891,"f0=10 Q=0.05",0
bandpass,48000,26.5,4.400,"f0=23520 Q=18.7",0
notch1,48000,73.0,14.913,"f0=23520 Q=0.15",0
allpass,48000,100.0,0.000,"f0=20 Q=40",0
hp,48000,84.6,26.258,"f0=23520 ORDER=1",0
lp,48000,68.6,18.595,"f0=650 ORDER=1",0
notchcas,48000,86.7,25.598,"f0=23520 ORDER=12.6",0
bpcascade,48000,37.7,41.360,"f0=10751 ORDER=10.7",0
tilt,48000,84.2,1.305,"f0=16974 GAIN DB=30",0
bell_p12,96000,70.5,2.242,"f0=47040 Q=2.07",0
loshelf_p12,96000,96.2,5.790,"f0=47040 Q=0.05",0
hishelf_p12,96000,83.6,5.673,"f0=10 Q=0.05",0
bell_m12,96000,70.5,2.242,"f0=47040 Q=2.07",0
loshelf_m12,96000,98.4,5.790,"f0=47040 Q=0.05",0
hishelf_m12,96000,83.4,5.673,"f0=10 Q=0.05",0
bandpass,96000,30.9,4.400,"f0=47040 Q=18.7",0
notch1,96000,71.9,14.913,"f0=47040 Q=0.15",0
allpass,96000,100.0,0.000,"f0=20 Q=36.8",0
hp,96000,85.9,26.259,"f0=47040 ORDER=1",0
lp,96000,71.1,18.595,"f0=1255 ORDER=1",0
notchcas,96000,87.3,26.195,"f0=47040 ORDER=12.6",0
bpcascade,96000,43.1,41.442,"f0=21528 ORDER=10.7",0
tilt,96000,85.4,1.303,"f0=32973 GAIN DB=-30",0
bell_p12,192000,72.6,2.242,"f0=94080 Q=2.07",0
loshelf_p12,192000,96.4,5.790,"f0=94080 Q=0.05",0
hishelf_p12,192000,77.4,5.917,"f0=10 Q=0.05",0
bell_m12,192000,72.6,2.242,"f0=94080 Q=2.07",0
loshelf_m12,192000,98.5,5.790,"f0=94080 Q=0.05",0
hishelf_m12,192000,77.2,5.917,"f0=10 Q=0.05",0
bandpass,192000,35.4,4.400,"f0=94080 Q=17.2",0
notch1,192000,70.1,16.669,"f0=10 Q=0.05",0
allpass,192000,100.0,0.000,"f0=20 Q=40",0
hp,192000,87.0,26.257,"f0=94080 ORDER=1",0
lp,192000,73.2,18.595,"f0=2536 ORDER=1",0
notchcas,192000,87.0,25.325,"f0=94080 ORDER=12.6",0
bpcascade,192000,47.4,42.336,"f0=43610 ORDER=10.7",0
tilt,192000,86.6,1.304,"f0=69173 GAIN DB=-30",0
